en,pt_br
working,trabalhando
person,pessoa
part,papel
kids,crianças
late,tarde
stuff,coisa
exactly,exatamente
under,sob
death,morte
minute,minuto
pay,pagar
crazy,louco
forget,esquecer
everybody,todo mundo
kid,criança
change,mudar
gave,deu
happen,acontecer
damn,droga
five,cinco
drink,bebida
far,distante
knows,sabe
its,isso é
whatever,qualquer que seja
eyes,olhos
shut,fechar
aren,areia
hit,bater
taking,tirando
easy,fácil
times,vezes
check,verificar
hands,mãos
minutes,minutos
deal,negócio
different,diferente
means,significa
point,apontar
inside,dentro
makes,faz
asked,perguntado
somebody,alguém
mine,meu
making,fazendo
body,corpo
afraid,com medo
sleep,dormir
chance,chance
dear,querido
quite,bastante
four,quatro
anyway,de qualquer forma
close,fechar
ain,ain
party,festa
fun,diversão
against,contra
word,palavra
comes,vem
important,importante
set,definir
shall,podemos
story,história
number,número
daughter,filha
least,ao menos
waiting,esperando
hurt,ferir
wish,desejar
moment,momento
fight,lutar
week,semana
husband,marido
girls,garotas
rest,descansar
married,casado
fire,fogo
game,jogo
nobody,ninguém
mr,senhor
children,crianças
side,lado
stand,ficar
read,ler
though,no entanto
cut,corte
started,iniciado
sister,irmã
supposed,suposto
between,entre
child,criança
goes,vai
hours,horas
speak,falar
women,mulheres
behind,atrás
almost,quase
truth,verdade
blood,sangue
able,capaz
lady,senhora
anymore,não mais
playing,jogando
gets,fica
shot,tomada
reason,razão
trouble,dificuldade
break,quebrar
war,guerra
city,cidade
walk,andar
town,cidade
trust,confiar
met,conheceu
office,escritório
question,pergunta
brought,trouxe
yours,seu
welcome,Bem-vindo
high,alto
wow,uau
couple,casal
half,metade
died,morreu
cool,legal
free,livre
either,qualquer
seems,parece
power,poder
whoa,uau
bye,tchau
buy,comprar
telling,dizendo
honey,mel
tried,testado
front,frente
team,equipe
answer,responder
gun,pistola
boys,meninos
line,linha
send,enviar
news,notícias
stupid,estúpido
hurry,pressa
full,completo
months,meses
save,salvar
become,tornar-se
along,junto
hate,odiar
food,comida
outside,fora
light,luz
needs,precisa
dog,cachorro
country,país
clear,claro
order,ordem
em,em
fact,fato
lord,senhor
captain,capitão
six,seis
hot,quente
funny,engraçado
black,preto
mrs.,Sra.
alive,vivo
pick,escolha
feeling,sentimento
living,vivendo
cause,causa
ahead,à frente
lose,perder
king,rei
plan,plano
dinner,jantar
sighs,suspiros
sort,organizar
leaving,saindo
shouldn,não deveria
running,correndo
boss,chefe
alright,tudo bem
promise,promessa
taken,levado
safe,seguro
ma,mãe
book,livro
sent,enviado
white,branco
hour,hora
anybody,qualquer pessoa
small,pequeno
perfect,perfeito
cause,causa
lives,vidas
special,especial
parents,pais
john,John
himself,ele mesmo
perhaps,talvez
sounds,sons
serious,sério
sick,doente
company,empresa
scared,assustado
uncle,tio
poor,pobre
red,vermelho
past,passado
earth,terra
possible,possível
touch,tocar
sound,som
top,principal
ass,bunda
laughs,risos
cannot,não pode
asking,perguntando
win,ganhar
glad,alegre
control,controlar
hmm,hum
human,humano
drive,dirigir
hair,cabelo
jack,Jack
bitch,cadela
luck,sorte
murder,assassinato
happens,acontece
air,ar
ten,dez
daddy,papai
finally,finalmente
chuckles,risadas
fast,rápido
cold,frio
seem,parecer
laughing,rindo
words,palavras
hospital,hospital
street,rua
hang,pendurar
dance,dança
meeting,reunião
till,até
others,outros
catch,pegar
follow,seguir
sense,senso
sex,sexo
lie,mentira
evening,noite
master,mestre
known,conhecido
dream,sonhar
write,escrever
million,milhão
voice,voz
sweet,doce
rather,em vez de
felt,sentido
sign,sinal
lucky,sortudo
somewhere,em algum lugar
bet,aposta
jesus,Jesus
longer,mais longo
calling,chamando
worked,trabalhado
quiet,quieto
looked,visto
less,menos
pull,puxar
beat,bater
careful,cuidadoso
coffee,café
return,retornar
secret,segredo
weeks,semanas
weren,não eram
date,data
seeing,vendo
fall,cair
given,dado
ooh,ooh
fault,falta
straight,direto
takes,leva
song,canção
future,futuro
gentlemen,senhores
changed,mudado
road,estrada
calm,calma
wonderful,maravilhoso
mad,louco
turned,virou
drop,derrubar
ladies,senhoras
learn,aprender
step,etapa
absolutely,absolutamente
early,cedo
explain,explicar
clean,limpar
yesterday,ontem
throw,lançar
picture,foto
land,terra
feet,pés
wonder,maravilha
questions,questões
speaking,Falando
worth,valor
darling,querido
dude,cara
giving,dando
president,presidente
eye,olho
quick,rápido
moving,em movimento
figure,figura
state,estado
strong,forte
sam,Sam
none,nenhum
amazing,incrível
ones,uns
works,funciona
act,agir
needed,necessário
weird,esquisito
law,lei
worried,preocupado
report,relatório
goodbye,adeus
missing,ausente
choice,escolha
happening,acontecendo
chief,chefe
wedding,casamento
strange,estranho
general,em geral
pain,dor
am,sou
kidding,brincando
decided,decidiu
ya,sim
pass,passar
tired,cansado
class,aula
officer,oficial
kept,mantido
wake,acordar
worse,pior
busy,ocupado
eh,Eh
mistake,erro
kiss,beijo
court,tribunal
building,prédio
during,durante
age,idade
ship,enviar
caught,capturado
marry,casar
meant,significou
sell,vender
dark,escuro
watching,assistindo
system,sistema
suppose,suponha
evidence,evidência
movie,filme
ride,andar de
completely,completamente
mouth,boca
totally,totalmente
birthday,aniversário
tv,TV
forgive,perdoar
born,nascer
imagine,imaginar
information,Informação
instead,em vez de
definitely,definitivamente
security,segurança
certainly,certamente
film,filme
month,mês
lying,mentindo
unless,a menos que
train,trem
seven,Sete
wear,vestir
clothes,roupas
michael,Miguel
hotel,hotel
christmas,Natal
attack,ataque
hasn,não tem
round,redondo
expect,esperar
sing,cantar
terrible,terrível
george,Jorge
bag,bolsa
history,história
blue,azul
near,aproximar
broke,quebrado
station,estação
seriously,seriamente
forever,para sempre
david,Davi
frank,franco
except,exceto
thinks,pensa
message,mensagem
entire,inteiro
joe,Joe
table,mesa
talked,falou
across,entre
rock,pedra
lovely,amável
handle,lidar
middle,meio
buddy,companheiro
paid,pago
protect,proteger
using,usando
floor,chão
ran,corrido
swear,jurar
spend,gastar
situation,situação
ring,anel
anywhere,em qualquer lugar
dangerous,perigoso
bill,conta
york,Iorque
army,exército
lead,liderar
bought,comprado
finished,finalizado
fair,justo
sun,sol
letter,carta
fool,enganar
attention,atenção
club,clube
simple,simples
interesting,interessante
test,teste
box,caixa
group,grupo
single,solteiro
sitting,sentado
marriage,casado
join,juntar
fear,temer
peace,paz
forgot,esquecido
force,vigor
short,curto
normal,normal
charlie,Charlie
present,presente
enjoy,aproveitar
mike,microfone
crime,crime
horse,cavalo
ground,chão
american,americano
count,contar
area,área
charge,cobrar
honor,honra
lunch,almoço
miles,milhas
radio,rádio
idiot,idiota
ball,bola
surprise,surpresa
paper,papel
key,chave
boat,barco
quickly,rapidamente
gold,ouro
bar,bar
fish,peixe
mark,marca
tom,Tom
wearing,vestindo
crying,choro
accident,acidente
government,governo
eight,oito
fell,caiu
cover,cobrir
certain,certo
interested,interessado
deep,profundo
star,estrela
sea,mar
agree,concordar
problems,problemas
detective,detetive
prison,prisão
major,principal
stick,grudar
offer,oferecer
difficult,difícil
smart,inteligente
personal,pessoal
record,registro
stopped,parou
hide,esconder
whether,se
bank,banco
trip,viagem
relax,relaxar
america,América
public,público
list,lista
afternoon,tarde
brain,cérebro
fix,consertar
bastard,Desgraçado
proud,orgulhoso
tea,chá
service,serviço
screaming,gritando
forward,avançar
angry,nervoso
park,parque
soul,alma
fighting,combate
peter,Peter
rich,rico
agent,agente
blow,soprar
paul,Paulo
dress,vestir
mary,Mary
missed,perdido
scene,cena
killing,matando
standing,de pé
saved,salvo
mm,milímetros
respect,respeito
killer,assassino
ice,gelo
mess,bagunça
tough,difícil
feels,sentimentos
church,igreja
sad,triste
cell,célula
drunk,bêbado
share,compartilhar
camera,câmera
mm-hmm,mm-hmm
within,dentro de
card,cartão
fly,voar
ben,Bem
girlfriend,namorada
smell,cheiro
broken,quebrado
mum,mãe
honest,honesto
often,muitas vezes
starting,começando
calls,chamadas
spent,gasto
third,terceiro
english,inglês
visit,visita
mama,mamãe
judge,juiz
window,janela
hungry,com fome
dare,ousar
relationship,relação
moved,movido
prove,provar
private,privado
wall,parede
seat,assento
position,posição
lieutenant,tenente
lt,ele
especially,especialmente
machine,máquina
walking,andando
art,arte
pleasure,prazer
bloody,sangrento
college,faculdade
french,francês
involved,envolvido
cry,chorar
became,tornou-se
lived,vivido
impossible,impossível
neither,nenhum
boyfriend,namorado
besides,além do mais
queen,rainha
teacher,professor
cops,policiais
sake,interesse
loves,ama
carry,carregar
teach,ensinar
apartment,apartamento
upset,chateado
green,verde
liked,apreciado
cute,bonitinho
evil,mal
professor,professor
contact,contato
joke,piada
cop,policial
huge,enorme
holy,sagrado
store,loja
jail,cadeia
likes,curtidas
lawyer,advogado
doubt,dúvida
continue,continuar
appreciate,apreciar
cat,gato
shop,comprar
driving,condução
congratulations,Parabéns
wrote,escreveu
village,aldeia
quit,desistir
field,campo
james,James
wine,vinho
decision,decisão
south,sul
sleeping,dormindo
slow,lento
laughter,risada
island,ilha
glass,vidro
beginning,começo
cash,dinheiro
dying,morrendo
hundred,centenas
whose,cujo
difference,diferença
plane,avião
push,empurrar
continues,continua
mmm,mmm
singing,cantoria
eating,comendo
north,norte
mrs,senhora
tree,árvore
madam,senhora
gift,presente
truck,caminhão
putting,colocando
bear,urso
board,quadro
grab,pegar
beer,cerveja
stuck,preso
magic,magia
support,apoiar
rules,regras
grunts,grunhidos
partner,parceiro
reach,alcançar
wind,vento
colonel,coronel
max,máx.
immediately,imediatamente
seconds,segundos
thousand,mil
gives,dá
experience,experiência
cheers,saúde
victim,vítima
upon,sobre
computer,computador
christ,Cristo
planet,planeta
promised,prometido
bus,ônibus
henry,Henrique
dirty,sujo
search,procurar
staying,ficando
dreams,sonhos
arrest,prender prisão
holding,contenção
usually,geralmente
lots,lotes
shoes,sapato
jump,pular
rid,livrar
yo,ei
knock,bater
owe,dever
harry,Harry
grow,crescer
worst,pior
river,rio
aunt,tia
patient,paciente
kitchen,cozinha
fat,gordo
passed,passou
final,final
summer,verão
bob,prumo
listening,audição
escape,escapar
everywhere,em todos os lugares
moon,lua
arms,braços
turns,voltas
address,endereço
ow,ai
match,corresponder
gasps,suspiros
grand,grande
yep,sim
shh,psiu
nervous,nervoso
de,de
choose,escolher
themselves,eles mesmos
decide,decidir
mate,amigo
drinking,bebendo
press,imprensa
bother,irmão
foot,pé
hadn,não tinha
blame,culpa
crap,besteira
drugs,drogas
type,tipo
rings,anéis
mission,missão
named,nomeado
heaven,paraíso
picked,escolhido
paris,Paris
race,corrida
risk,risco
books,livros
further,avançar
danny,Danny
action,Ação
allowed,permitido
orders,pedidos
learned,aprendido
price,preço
arrived,chegado
nick,apelido
otherwise,de outra forma
pictures,fotos
smoke,fumaça
favor,favor
played,jogado
notice,perceber
awesome,incrível
smile,sorriso
director,diretor
guard,guarda
begin,começar
surprised,surpreso
innocent,inocente
narrator,narrador
herself,ela mesma
london,Londres
feelings,sentimentos
enemy,inimigo
battle,batalha
ourselves,nós mesmos
alex,Alex
dollars,dólares
allow,permitir
nine,nove
gay,gay
department,departamento
guilty,culpado
apart,separado
earlier,mais cedo
duty,obrigação
jim,Jim
suit,terno
bell,sino
west,oeste
legs,pernas
hero,herói
destroy,destruir
stage,estágio
bunch,monte
according,de acordo com
chicken,frango
bigger,maior
grunting,grunhindo
low,baixo
helping,ajudando
admit,admitir
closed,fechado
names,nomes
witness,testemunha
upstairs,lá em cima
arm,braço
steal,roubar
jimmy,Jimmy
kick,chute
twice,duas vezes
cross,cruzar
ways,caminhos
sergeant,sargento
indeed,de fato
gas,gás
keeping,mantendo
energy,energia
pregnant,grávida
waste,desperdício
helped,ajudou
fired,despedido
favorite,favorito
tony,Tony
taste,gosto
locked,trancado
places,lugares
writing,escrita
adam,Adão
brothers,irmãos
starts,começa
prince,príncipe
form,forma
sold,vendido
silly,bobagem
mention,menção
build,construir
throat,garganta
hole,buraco
figured,figurado
track,acompanhar
ringing,toque
lock,trancar
leg,perna
above,acima
hiding,escondido
steve,Steve
seemed,pareceu
breakfast,café da manhã
engine,motor
written,escrito
complete,completo
video,vídeo
applause,aplausos
however,no entanto
pressure,pressão
fresh,fresco
weapon,arma
sky,céu
ms.,EM.
stole,roubou
study,estudar
burn,queimar
reading,leitura
crowd,multidão
treat,tratar
roll,rolar
double,dobro
spirit,espírito
danger,perigo
cost,custo
empty,vazio
level,nível
memory,memória
itself,em si
acting,atuando
interest,interesse
nose,nariz
plans,planos
following,seguindo
bathroom,banheiro
built,construído
closer,mais perto
ray,raio
sarah,Sara
band,banda
groans,gemidos
apparently,aparentemente
excited,excitado
richard,Ricardo
losing,perdendo
animals,animais
flight,voo
nature,natureza
raise,elevação
pop,estouro
client,cliente
bomb,bomba
neck,pescoço
suspect,suspeito
warm,esquentar
extra,extra
van,van
heavy,pesado
mommy,mamãe
dogs,cães
wild,selvagem
ridiculous,ridículo
simply,simplesmente
lee,Lee
animal,animal
showed,mostrou
billy,Billy
shooting,tiroteio
keeps,mantém
camp,acampar
guns,armas
medical,médico
shame,vergonha
hoping,esperando
whom,a quem
bird,pássaro
majesty,majestade
flowers,flores
famous,famoso
asleep,dormindo
beauty,beleza
driver,motorista
keys,chaves
rain,chuva
awful,horrível
large,grande
local,local
deserve,merecer
stone,pedra
jane,Jane
grace,graça
consider,considerar
weekend,fim de semana
wondering,imaginando
lay,deitar
plenty,bastante
willing,disposto
pants,calça
sweetheart,querido
skin,pele
excellent,excelente
asshole,Idiota
beach,praia
c,c
faith,fé
beg,implorar
fuckin,porra
responsible,responsável
military,militares
cheering,aplaudindo
opportunity,oportunidade
common,comum
bottom,fundo
german,alemão
whoever,quem quer que seja
cook,cozinhar
walked,andou
papers,papéis
justice,justiça
hall,salão
commander,comandante
drug,medicamento
main,principal
knife,faca
devil,diabo
necessary,necessário
although,embora
princess,princesa
lights,luzes
flying,vôo
dick,pinto
rose,rosa
knowing,sabendo
clearly,claramente
hat,chapéu
agreed,acordado
johnny,johnny
corner,canto
code,código
note,observação
tommy,Tommy
due,devido
correct,correto
apologize,desculpar-se
language,linguagem
stars,estrelas
faster,mais rápido
cars,carros
folks,pessoas
bullshit,besteira
i.,eu.
fellow,amigo
several,diversos
grandma,avó
shows,mostra
leader,líder
leaves,folhas
restaurant,restaurante
east,leste
shouting,gritando
blind,cego
ghost,fantasma
cup,xícara
gotten,pego
tight,apertado
conversation,conversa
tells,conta
lies,mentiras
nor,nem
pulled,retirado
hanging,pendurado
speed,velocidade
stories,histórias
health,saúde
advice,conselho
held,mantido
uh-huh,uh-huh
murdered,assassinado
beyond,além
rule,regra
hardly,dificilmente
possibly,possivelmente
inspector,inspetor
cousin,primo
trial,julgamento
emergency,emergência
ought,deveria
eddie,Eddie
somehow,de alguma forma
hearing,audição
states,estados
account,conta
spoke,falou
file,arquivo
understood,entendido
angel,anjo
tape,fita
milk,leite
powerful,poderoso
weapons,armas
practice,prática
manager,gerente
pardon,perdão
vote,voto
jake,Jake
national,nacional
career,carreira
minister,ministro
super,super
taught,ensinado
robert,Roberto
biggest,o maior
plays,peças
natural,natural
dancing,dança
copy,cópia
plus,mais
martin,Martinho
cake,bolo
freedom,liberdade
breath,respiração
operation,operação
chris,Chris
crew,equipe
challenge,desafio
market,mercado
meat,carne
towards,em direção a
bringing,trazendo
dropped,derrubado
student,estudante
lied,mentiu
strength,força
size,tamanho
breathe,respirar
color,cor
monster,monstro
loud,alto
photo,foto
nearly,aproximadamente
sight,visão
greatest,o melhor
games,jogos
bridge,ponte
dressed,vestido
arrested,preso
horrible,horrível
coach,treinador
planning,planejamento
checked,verificado
breaking,quebra
noticed,percebido
fantastic,fantástico
screams,gritos
serve,servir
ideas,ideias
investigation,investigação
center,centro
older,mais velho
pack,pacote
soldiers,soldados
nonsense,bobagem
doc,doutor
project,projeto
training,treinamento
example,exemplo
trick,truque
prepared,preparado
science,ciência
united,unido
travel,viagem
incredible,incrível
grandpa,avô
paying,pagando
character,personagem
teeth,dentes
criminal,criminal
charles,Carlos
chinese,chinês
truly,verdadeiramente
honestly,honestamente
bro,irmão
survive,sobreviver
bobby,bobby
target,alvo
feed,alimentar
nurse,enfermeira
e,e
fake,falso
records,registros
breathing,respirando
sweetie,docinho
numbers,números
oil,óleo
suicide,suicídio
belong,pertencer
whoo,uau
perfectly,perfeitamente
amy,Amy
forgotten,esquecido
remain,permanecer
original,original
papa,papai
onto,para
concerned,preocupado
credit,crédito
ugh,eca
invited,convidado
discuss,discutir
research,pesquisar
easier,mais fácil
view,visualizar
chair,cadeira
hurts,machuca
strike,batida
roger,Roger
fill,preencher
condition,doença
mountain,montanha
dr,Dr.
nowhere,em lugar nenhum
sheriff,xerife
kim,Kim
turning,virando
brown,marrom
recognize,reconhecer
heads,cabeças
all,todos
jealous,ciúmes
pretend,fingir
society,sociedade
finding,encontrando
shirt,camisa
comfortable,confortável
meaning,significado
guest,convidado
pieces,peças
began,começou
aye,Sim
jeff,Jeff
female,fêmea
release,liberar
ho,ho
cards,cartas
pray,rezar
unfortunately,infelizmente
balls,bolas
destroyed,destruído
ended,terminou
universe,universo
prepare,preparar
opinion,opinião
movies,filmes
soldier,soldado
program,programa
heat,aquecer
usual,usual
ticket,bilhete
stolen,roubado
aware,consciente
surely,certamente
male,macho
base,base
matters,assuntos
lift,elevador
lab,laboratório
command,comando
proof,prova
cream,creme
selling,vendendo
believed,acreditava
create,criar
h,h
afford,dispor
sunday,Domingo
total,total
dumb,burro
threw,jogou
france,França
birth,aniversário
created,criado
realized,percebeu
british,britânico
noise,barulho
nuts,nozes
students,estudantes
birds,pássaros
social,social
brilliant,brilhante
bodies,corpos
tie,gravata
opened,aberto
ours,nosso
bucks,dólares
kevin,Kevin
mister,senhor
ugly,feio
ryan,Ryan
focus,foco
dan,e
opens,abre
exist,existir
followed,seguido
england,Inglaterra
draw,empate
purpose,propósito
letters,cartas
daniel,Daniel
opening,abertura
bullet,bala
anna,Ana
lately,ultimamente
stayed,ficou
falling,caindo
season,temporada
ends,termina
suggest,sugerir
joy,alegria
distance,distância
responsibility,responsabilidade
whenever,em qualquer momento
issue,emitir
thousands,milhares
process,processo
sword,espada
shower,banho
weak,fraco
fucked,fodido
lonely,sozinho
happiness,felicidade
eric,Érico
tiny,pequeno
pool,piscina
property,propriedade
forced,forçado
settle,resolver
indistinct,indistinto
weight,peso
received,recebido
gang,gangue
bite,morder
friday,sexta-feira
disappeared,desaparecido
interview,entrevista
expecting,esperando
kinda,tipo
surgery,cirurgia
horses,cavalos
mayor,prefeito
babe,querida
ancient,ancestral
handsome,bonito
thomas,Thomas
saturday,sábado
staff,funcionários
lines,linhas
unit,unidade
fan,fã
gentleman,cavalheiro
introduce,introduzir
fate,destino
split,dividir
recently,recentemente
expected,esperado
add,adicionar
ordered,ordenado
slowly,devagar
alarm,alarme
slept,dormiu
signed,assinado
enter,digitar
spanish,espanhol
garden,jardim
brings,traz
brave,corajoso
pig,porco
model,modelo
finger,dedo
medicine,medicamento
access,acesso
failed,fracassado
flat,plano
easily,facilmente
discovered,descoberto
based,baseado
screw,parafuso
insane,insano
cares,cuidados
weather,clima
fingers,dedos
san,são
scott,Scott
path,caminho
soft,macio
harm,ferir
style,estilo
sees,vê
basically,basicamente
al,todos
signal,sinal
nope,não
spare,poupar
speech,discurso
covered,abordado
shake,sacudir
loose,solto
snow,neve
russian,russo
lake,lago
bright,brilhante
roof,teto
ohh,ohh
sending,enviando
paint,pintar
remind,lembrar
pal,amigo
naked,nu
post,publicar
sugar,açúcar
heading,cabeçalho
streets,ruas
damage,dano
silence,silêncio
doors,portas
pete,Pedro
ed,ed
success,sucesso
wet,molhado
nah,não
amount,quantia
members,membros
kate,Kate
manage,gerenciar
safety,segurança
returned,retornou
harder,mais difícil
fbi,FBI
block,bloquear
showing,mostrando
fancy,chique
chef,chefe de cozinha
contract,contrato
dig,escavação
chest,peito
good-bye,adeus
drinks,bebidas
dave,Dave
buried,enterrado
brian,Brian
trade,troca
journey,jornada
stomach,estômago
changes,mudanças
details,detalhes
thoughts,pensamentos
divorce,divórcio
funeral,funeral
maria,maria
football,futebol
reality,realidade
theory,teoria
gosh,poxa
ruined,arruinado
gate,portão
william,Guilherme
spread,espalhar
outta,fora de
japanese,japonês
sudden,repentino
coat,casaco
sooner,mais cedo
cheese,queijo
larry,Larry
spring,primavera
page,página
ears,ouvidos
simon,Simão
castle,castelo
hidden,escondido
storm,tempestade
cos,porque
personally,pessoalmente
artist,artista
hill,colina
exciting,excitante
permission,permissão
jerry,Jerry
expensive,caro
tickets,ingressos
forest,floresta
barely,por muito pouco
eggs,ovos
goin,indo
regret,arrependimento
lesson,lição
lover,amante
bread,pão
andy,Andy
subject,assunto
legal,jurídico
growing,crescente
mood,humor
owner,proprietário
caused,causado
beeping,apitando
points,pontos
dating,namorando
loss,perda
secretary,secretário
revenge,vingança
santa,Papai Noel
likely,provável
rent,aluguel
connection,conexão
assistant,assistente
reasons,razões
yelling,gritando
painting,pintura
trees,árvores
doctors,médicos
rush,correr
foreign,estrangeiro
rough,duro
murderer,assassino
century,século
nights,noites
pair,par
runs,corre
pocket,bolso
farm,fazenda
matt,fosco
bike,bicicleta
obvious,óbvio
ate,comeu
grew,cresceu
professional,profissional
tim,tempo
goodness,bondade
parts,partes
alan,Alan
university,universidade
square,quadrado
grandfather,avô
europe,Europa
genius,gênio
cases,casos
ruin,ruína
winter,inverno
tongue,língua
memories,memórias
buying,comprando
cancer,Câncer
clock,relógio
ocean,oceano
dna,DNA
liar,mentiroso
tour,percorrer
thief,ladrão
bleep,bipe
lisa,Lisa
rights,direitos
including,incluindo
competition,concorrência
smith,ferreiro
planned,planejado
emily,Emily
boring,tedioso
victims,vítimas
mentioned,mencionado
bones,ossos
plant,plantar
bless,abençoar
warning,aviso
knocking,batendo
crash,colidir
bedroom,quarto
lower,mais baixo
silver,prata
groaning,gemendo
madame,senhora
defense,defesa
results,resultados
toilet,banheiro
event,evento
complicated,complicado
shape,forma
priest,padre
royal,real
cheap,barato
romantic,romântico
downstairs,lá embaixo
invite,convidar
fortune,fortuna
tears,lágrimas
avoid,evitar
reached,alcançado
higher,mais alto
familiar,familiar
telephone,telefone
burning,queimando
filled,preenchido
kelly,Kelly
alice,Alice
airport,aeroporto
jobs,empregos
grown,crescido
walter,Walter
rachel,raquel
giant,gigante
insurance,seguro
woods,bosques
n,n
scare,susto
pleased,satisfeito
period,período
political,político
player,jogador
stops,paradas
secrets,segredos
laura,laura
repeat,repita
photos,fotos
finds,achados
statement,declaração
suck,chupar
younger,mais jovem
china,China
humans,humanos
delicious,delicioso
particular,especial
proper,apropriado
rome,Roma
belongs,pertence
attacked,atacado
bath,banho
hired,contratado
site,site
knowledge,conhecimento
led,liderado
guests,convidados
celebrate,celebrar
map,mapa
horn,buzina
eventually,eventualmente
pity,pena
powers,poderes
ashamed,envergonhado
assume,assumir
glasses,copos
rise,ascender
fixed,fixo
request,solicitar
officers,oficiais
pounds,libras
data,dados
carefully,com cuidado
per,por
depends,depende
jury,júri
waited,esperou
positive,positivo
attorney,advogado
direction,direção
families,famílias
clock,relógio
doin,fazendo
forces,forças
location,localização
walls,paredes
useless,inútil
grant,conceder
saving,salvando
speaks,fala
fought,disputado
meal,refeição
deliver,entregar
answers,respostas
changing,mudando
temple,templo
scary,apavorante
millions,milhões
offered,oferecido
regular,regular
carrying,carregando
official,oficial
switch,trocar
grave,cova
chase,perseguir
role,papel
odd,chance
sexy,sensual
